,Name,Cuisine Style,Rating Glovo,Number of Reviews
698,Pizza Esplugues,['Pizza'],95%,91
699,Jian-Zhe Asiático,['Asian'],90%,199
700,Areca Bakery,"['Breakfast', 'Snacks']",96%,163
701,La Buena Pizza,['Pizza'],90%,78
702,Greek Aribau,['Mediterranean'],81%,68
703,Bonprofit Peruano,"['International', 'Peruvian']",97%,48
704,Granja Ca La Tere,['Asian'],92%,51
705,Red Ant Noodle Bar,"['Asian', 'Japanese']",77%,101
706,Pizzería Carlos,['Pizza'],92%,264
707,Mini Pizzas De Barcelona,['Pizza'],87%,51
708,Restaurante La Penela,"['Gourmet', 'Mediterranean']",95%,212
709,Bar Miramar,"['Mediterranean', 'Paella']",95%,114
710,Suma Manq'a,['Latin American'],93%,135
711,Mamá Alicia Pollo A L'ast,['Chicken'],81%,102
712,Komai Sushi Bar & Restaurant,"['Asian', 'Japanese']",95%,41
713,Roots & Rolls 100% Vegan,"['Healthy', 'Vegan']",90%,63
714,Internacional Restaurante Bar,"['Latin American', 'Mexican']",94%,113
715,Shawarmax,"['Arabic', 'Pizza']",94%,49
716,Frankfurt’s Original “C.C. Frankfutrs Splau”,"['American', 'Burgers']",96%,302
717,Yoshitake,['Japanese'],94%,226
718,Alcalde Doner Kebab Pizzeria,"['Arabic', 'Pizza']",97%,60
719,Tambayan Asian Street Food,['Asian'],93%,56
720,Garito24,"['Burgers', 'Sandwich']",96%,266
721,Tantarantana,['Mediterranean'],71%,35
722,Pecata,"['American', 'Burgers']",95%,162
723,Doner Pizza’s Kebabs,['Arabic'],96%,62
724,Can Cuxart,['Mediterranean'],91%,166
725,Bendito Pecado Latin Food,"['Latin American', 'Venezolana']",96%,301
726,Kois  Restaurante Japonés,['Asian'],92%,159
727,Cholito Lindo,"['Breakfast', 'Peruvian']",92%,151
728,Ciao Bella,"['Italian', 'Pizza']",85%,83
729,Marina Bay,"['Mediterranean', 'Paella']",89%,27
730,Jalapeños,['Mexican'],97%,193
731,Pim Pam Burger,['American'],99%,144
732,Restaurante Japonés Yiduo2,['Japanese'],90%,20
733,The Real Burrito,"['American', 'Mexican']",91%,425
734,Pokes Pro,['Poke'],98%,14
735,Veggie Cravings,"['Healthy', 'Vegetarian']",78%,56
736,Restaurante Blanquita,['Latin American'],92%,262
737,El Sabor Pizzería,['Pizza'],98%,44
738,Adana Grill House,['Pizza'],89%,22
739,Sabor Remei Kebabish,['Arabic'],95%,29
740,Montesquiu,['Mediterranean'],98%,107
741,Épico Grill,['Burgers'],91%,231
742,Shalimar braseria,['International'],94%,37
743,Pita House,"['Arabic', 'Pizza']",92%,119
744,Bo De Boqueria,"['Butchery', 'Fishmongers']",73%,18
745,My Lebanon,['Arabic'],97%,27
746,Ruixian Sushi,"['Healthy', 'Japanese']",98%,185
747,Moon Kebab,"['Arabic', 'Kebab']",95%,46
748,Yoüme Poke,"['Healthy', 'Poke']",87%,84
749,Salad Bowl Bcn,"['Healthy', 'International']",93%,102
750,Foodies Nation,"['American', 'Chicken']",97%,75
751,"El Capricho Kebab, Pizza Y Pollo A L'Ast","['American', 'Arabic']",91%,142
752,Happy Burger,['Burgers'],89%,97
753,Happy Burger,['Burgers'],89%,97
754,Papi Tea,"['Breakfast', 'Sweets']",95%,85
755,Sapor d'Italia,"['Italian', 'Pizza']",90%,154
756,Pizzería Cornellà,['Pizza'],91%,27
757,Efsane Istanbul Paralelo,['International'],85%,64
758,Padthaiwok,['Asian'],89%,132
759,Vegan Burger - Green Food,"['Breakfast', 'Sandwich']",100%,12
760,Raja Doner Kebab Pizzería,['Arabic'],95%,15
761,Tasty Wings,"['American', 'Chicken']",89%,78
762,A L'AST! Pollo Asado,"['American', 'Chicken']",83%,68
763,Dr. Beer & Mr. Fried,['Burgers'],99%,41
764,Amanecer,['Asian'],95%,129
765,Awais Grill,['Indian'],100%,11
766,Koh i Noor India,['Mediterranean'],94%,41
767,Fat Cat,['Mediterranean'],92%,19
768,Pizza Italiano,"['Italian', 'Pizza']",95%,31
769,Burger Heroes,['Burgers'],99%,52
770,El Parc Bar Restaurant,"['Mediterranean', 'Paella']",79%,31
771,TuCachapa.com,"['Bakery', 'Latin American']",91%,317
772,Pasta Barcelona,['Italian'],76%,101
773,Brasería Les Panolles,['Mediterranean'],96%,326
774,Red Pizza,['Pizza'],92%,67
775,Criollo - Empanadas Argentinas Caseras,"['Homemade food', 'Mediterranean']",94%,125
776,Gelati Dino,['Ice cream'],97%,44
777,"RESTAURANTE ""LIMA LIMON""",['American'],92%,51
778,Veggy Hot,"['Burgers', 'Vegetarian']",94%,67
779,Pita House Catalunya,['Arabic'],80%,25
780,Casa Carmen,['Mediterranean'],96%,134
781,Vegan Amarre 69,"['Burgers', 'Snacks']",95%,68
782,Restaurant Ruta 66,"['Burgers', 'Mexican']",88%,150
783,Bellako,['Arabic'],96%,453
784,EAT Curry,"['Indian', 'International']",74%,60
785,The Real Milanesa,['American'],91%,284
786,Pollo Al'Ast Halal,['Chicken'],98%,25
787,The Real Food Co.,"['American', 'International']",85%,349
788,Miss Poke,"['Healthy', 'Poke']",92%,111
789,Pizza Mad,"['Italian', 'Pizza']",85%,98
790,Bar Los Gallegos,['Mediterranean'],98%,73
791,Parisien Retaurante,"['Burgers', 'Pizza']",84%,45
792,Kebab De La Rambla,"['Arabic', 'Pizza']",91%,66
793,Magic napoli,['Pizza'],91%,50
794,Kebab Alcalde,"['Burgers', 'Kebab']",94%,209
795,Il Posto,['Mediterranean'],88%,28
796,"Tortitas, Bagels & Zumos","['Breakfast', 'Snacks']",89%,125
797,Gujrat Grill,"['Arabic', 'Burgers']",90%,44
798,North India & South India,['Indian'],90%,31
799,Folk Empanadas,"['Latin American', 'Mediterranean']",96%,25
800,La Chula,"['Mexican', 'Seafood']",92%,119
801,Meme Burger,['Burgers'],88%,87
802,Dim Sum Munch,['Asian'],97%,10
803,Pasta Stop,['Italian'],80%,85
804,La Sagrada,"['Burgers', 'Mediterranean']",97%,50
805,India Gate,['Indian'],84%,131
806,Juicy Avenue,"['American', 'Brunch']",93%,500+
807,Fusión Cebiche,"['International', 'Latin American']",87%,42
808,Mac n Cheese Factory,"['Italian', 'Mediterranean']",89%,116
809,Lekker Café,['International'],78%,21
810,Healthy Sandwich,"['Brunch', 'Sandwich']",92%,266
811,Al Karma 2,"['Arabic', 'Vegetarian']",86%,89
812,Cafe Pans by Pans&Company,['Mediterranean'],95%,172
813,Lunch and Catering,"['Arabic', 'Pizza']",98%,18
814,Ami Shawarma,"['Arabic', 'Pizza']",72%,16
815,Late Night Pizza & Pastas,['Pizza'],86%,48
816,Pim Pam Kebab y Pizzería,"['Arabic', 'Pizza']",86%,253
817,La milanesa bcn,"['Chicken', 'Italian']",96%,281
818,A Bocados,['Burgers'],94%,121
819,Rey De Ali Baba,"['Arabic', 'Pizza']",98%,49
820,Collblanc Kebab,"['Arabic', 'Pizza']",99%,25
821,Indian Barcelona,['Indian'],84%,11
822,100 Montaditos Tapas,"['Mediterranean', 'Sandwich']",93%,161
823,Euro Doner Pizzería,['Arabic'],96%,91
824,Restaurante El Cairo Tut,['Arabic'],85%,46
825,Goichi Ramen House Barcelona,['Chicken'],78%,89
826,Empanadas Macanudas,['Latin American'],98%,87
827,La Pizza Del Sakura - Halal,['Pizza'],88%,16
828,Catalunya Pita House Carrer De Amadeu Vives,"['Arabic', 'Pizza']",99%,38
829,Bar Aitor,['American'],95%,87
830,L’artigiano,['Ice cream'],81%,10
831,Cervecería Conde Drácula,['Mediterranean'],87%,95
832,Pizzeria Virona Bordeta,"['Italian', 'Kebab']",92%,57
833,Sushiko,"['Asian', 'Sushi']",87%,106
834,Cervecería SSS,['Mediterranean'],92%,51
835,Jef Coffee & Pizza,['Pizza'],92%,73
836,Catalunya Pita House,['Chicken'],95%,26
837,Tapas Bona Sort,['Mediterranean'],74%,11
838,Adil Tandoori,"['Chicken', 'Indian']",82%,34
839,Pizzería Napoli Centrale,"['Italian', 'Pizza']",95%,333
840,Pasta Style,['Italian'],88%,85
841,Ovante,"['American', 'Burgers']",95%,172
842,Staffshow,"['Breakfast', 'Sandwich']",79%,28
843,Gelateria Carambola,['Ice cream'],75%,10
844,Milanesa Haus,"['Latin American', 'Milanese']",89%,260
845,Grill Corner Sarrià,['Mediterranean'],88%,46
846,Pizza Puig,['Pizza'],92%,78
847,La Gárgola de Notre Dame,['American'],97%,21
848,Foster's Hollywood,"['American', 'Burgers']",92%,277
849,La Gárgola de Notre Dame,['American'],97%,21
850,Foster's Hollywood,"['American', 'Burgers']",92%,277
851,LomoAlto & LomoBajo,['Burgers'],93%,241
852,Frankfurt Levante Las Planas,['Sandwich'],87%,50
853,Restaurante El Manaba,['Latin American'],94%,204
854,BCN Pita House,"['Greek', 'International']",97%,31
855,Bar Arias,"['Brunch', 'Mediterranean']",97%,140
856,Pizza Italiana,"['Italian', 'Pizza']",92%,60
857,Búfala Doner Kebab,['Arabic'],93%,45
858,Restaurante Kinza,['Mediterranean'],96%,149
859,Aquí Va El Kebab,['Arabic'],99%,59
860,Sopa De Ramen,['Japanese'],88%,141
861,Líder Kebab Istanbul,"['Arabic', 'Pizza']",94%,79
862,Frankfurt’s Fabra I Puig,"['American', 'Burgers']",97%,388
863,Rey Del Bocata Sant Joan Despí,['Sandwich'],98%,110
864,100 Montaditos,"['Mediterranean', 'Sandwich']",93%,187
865,Fritto Pollo Crispy,"['American', 'Chicken']",74%,33
866,Burrikos,['Mexican'],88%,115
867,Metropolitan Gourmet Burgers,['Burgers'],86%,175
868,Pomodoro,['Italian'],94%,185
869,Restaurante Latino El Reencuentro,"['International', 'Latin American']",85%,53
870,Bam Bun,"['Healthy', 'Vegetarian']",83%,24
871,Lush Food,"['Asian', 'Japanese']",88%,37
872,La Mexicana De Tacos,['Mexican'],93%,52
873,Bella's,"['Italian', 'Pizza']",94%,121
874,Machado Doner Kebab & Pizzeria,"['Arabic', 'Pizza']",99%,124
875,Tasty Oasis,['Pizza'],92%,23
876,El Sazón de Lili,"['American', 'Burgers']",97%,140
877,Sagradas Tapas,['Mediterranean'],95%,312
878,El Bon Gust,"['Chicken', 'Latin American']",84%,30
879,Sazón Venezolano,"['Latin American', 'Venezolana']",79%,18
880,Oassis Natural Cooking,"['Burgers', 'Pizza']",85%,88
881,Restaurante Indio Chilli,['Indian'],79%,28
882,Pasta Italian,"['International', 'Italian']",60%,47
883,Mercado 100 Montaditos y La Sureña,['Sandwich'],88%,94
884,Indian Curry House,['Indian'],94%,352
885,Pizzería Río Janeiro,['Pizza'],97%,27
886,Froots & Roots,"['Healthy', 'Vegetarian']",95%,334
887,Tapas Verdi,['Burgers'],89%,150
888,Teng Sushi,"['Asian', 'Japanese']",93%,27
889,Hong Kong,['Asian'],91%,320
890,Asian Restaurant,['Indian'],69%,35
891,Indian & Tandoori,['Indian'],86%,17
892,El Rincón De Eric,['Asian'],97%,55
893,Cuchara Brava,['International'],89%,34
894,Aruku,['Asian'],98%,141
895,Enjoy A L'Ast,"['American', 'Chicken']",81%,24
896,Aloha Poké,"['Healthy', 'Poke']",97%,489
897,Coco House,['Snacks'],98%,23
898,Konkai Wok & Sushi,"['Japanese', 'Sushi']",90%,38
899,Catalana Kebab,['International'],95%,12
900,Rostisseria Piopio Pizza Kebab,"['Arabic', 'Chicken']",97%,21
901,Frankfurt Paralelo,['Sandwich'],86%,95
902,Oasis Gastrobar,"['Burgers', 'Mediterranean']",91%,99
903,BARCILO,"['Italian', 'Pizza']",85%,35
904,Ándele,['Mediterranean'],94%,17
905,Restaurante Brasería Micher,['Mediterranean'],65%,17
906,Kiniro Sushi,"['Japanese', 'Sushi']",95%,179
907,La Pequenia Pizzería,['Pizza'],90%,85
908,The Real Greek Pitas,"['American', 'Greek']",94%,314
909,Bowl Munch,['Healthy'],80%,56
910,La Empanada Nacional,['Latin American'],95%,27
911,Sushi Bar Ding,"['Japanese', 'Sushi']",92%,132
912,La Piadina,"['Italian', 'Vegan']",90%,109
913,La Porció,"['Pizza', 'Vegan']",99%,28
914,Spaghetti Chef,"['International', 'Italian']",86%,176
915,Kebab Johnny,"['Kebab', 'Mediterranean']",87%,39
916,Sushi Salón,"['Japanese', 'Sushi']",92%,220
917,Restaurante Kinza,['International'],95%,127
918,La Caleta,['Latin American'],86%,56
919,My Burg,['Burgers'],96%,139
920,Express Pizza Kebab,['Pizza'],98%,67
921,Bendito Tako,['Mexican'],91%,129
922,Pizza Marina,['Pizza'],96%,14
923,Rey De Istanbul Sagrada Familia,"['Arabic', 'International']",84%,90
924,Hard Rock Cafe,['Burgers'],95%,241
925,Komeridiana,"['Latin American', 'Peruvian']",90%,90
926,GR Burgers,['Burgers'],97%,436
927,Doner & Durum,['Arabic'],90%,58
928,Chicago Pizza,['Pizza'],90%,34
929,Pizzería Fluvia,['Pizza'],91%,197
930,Data Restaurante,['Arabic'],93%,158
931,Saith Kebab Pizzeria,['Arabic'],95%,49
932,Pizza Bella,"['Italian', 'Pizza']",100%,174
933,Marinella Pizzería,"['Italian', 'Pizza']",82%,16
934,Boba Labo,['Breakfast'],78%,162
935,Burger World BCN Halal,['Burgers'],97%,105
936,Rostisseria Eli,['Mediterranean'],90%,41
937,The Real Burger,"['American', 'Burgers']",88%,312
938,Estrella Kebab Y Pizzería,"['Arabic', 'Kebab']",89%,107
939,Autentiks,['American'],92%,121
940,Changqing Sushi,"['Asian', 'Japanese']",96%,55
941,Taco Munch,['Mexican'],79%,29
942,La Fermata,['Pizza'],97%,214
943,The Real Kebab,"['American', 'Arabic']",91%,285
944,Mr Steamer,['Japanese'],91%,21
945,Birria Burrito,['Mexican'],82%,61
946,Cadi Kebab Restaurant,"['Arabic', 'Pizza']",90%,34
947,Bombay Spicy Indian Restaurant,['Indian'],90%,124
948,Iqra Doner Kebab,"['Arabic', 'Burgers']",91%,65
949,Real Duram,"['Arabic', 'International']",100%,19
950,Ice Cream Shop,['Ice cream'],100%,12
951,Koreans Do It Better,['Asian'],97%,166
952,AA Pizzería Artesana,['Pizza'],92%,32
953,65 Slow Cooking,"['American', 'Healthy']",88%,91
954,Frankfurt La Farga,['Mediterranean'],94%,68
955,La Piazzenza,"['Italian', 'Pizza']",95%,430
956,Dulce Adriana,"['Breakfast', 'Ice cream']",92%,77
957,Tacos 16,['Mexican'],83%,60
958,Sushi 197,"['Asian', 'Sushi']",92%,32
959,Frankfurt Chumi,"['Burgers', 'Mediterranean']",97%,290
960,Teque Munch,['Latin American'],95%,46
961,Esglesia Major Pizzería Döner Kebab,"['Arabic', 'Pizza']",100%,21
962,Doner Festival Pizzería,['Arabic'],92%,159
963,Pizza Hot,['Pizza'],83%,48
964,Hanna Sushi,"['Asian', 'Japanese']",97%,500+
965,Casa Del Pollo A L'Ast,['Chicken'],70%,88
966,Inayat Grill,['Arabic'],93%,92
967,Bella & Buona,"['Italian', 'Pizza']",90%,204
968,Natsu Sushi,"['Japanese', 'Sushi']",88%,62
969,Durum XXL Kebab,['Arabic'],88%,31
970,El Turco Bar Doner Kebab Pizzería,"['Arabic', 'Burgers']",90%,130
971,INDIAN PALACE,['Indian'],88%,138
972,Sweet Teo,"['Bakery', 'Sweets']",93%,81
973,Mongolian Grill Genghis,"['Asian', 'Grill']",98%,38
974,Hop Viet,"['Asian', 'Vegan']",86%,108
975,Pita Inn 1,['Arabic'],99%,31
976,El Tío Pío,['Chicken'],95%,57
977,Carpi Pizza,['Pizza'],92%,18
978,Allinone Pizzas,"['Mediterranean', 'Pizza']",84%,34
979,Kansas Fried Chicken,"['American', 'Chicken']",76%,38
980,Golra,"['Arabic', 'Paella']",84%,29
981,Umi Sushi,"['Asian', 'Japanese']",95%,36
982,Big Burgers,['Burgers'],90%,46
983,Kurz & Gut,['Mediterranean'],91%,62
984,XXL Durum Kebab,['Arabic'],93%,152
985,India Veg House,['Mediterranean'],91%,48
986,Bar Restaurante Morenita,"['American', 'Latin American']",90%,125
987,Duram Rico,"['Arabic', 'Burgers']",95%,49
988,Versalles,['Mediterranean'],96%,71
989,Simple Bowls,"['Healthy', 'Vegetarian']",89%,76
990,El Racó Maremagnum,['Mediterranean'],93%,41
991,Punto y Coma,['Burgers'],88%,176
992,New York Cafe,"['Burgers', 'Pizza']",95%,67
993,Jungle Pizza,['Pizza'],97%,12
994,Iza Coffee & Brunch,['Breakfast'],92%,57
995,Pizza World,"['Arabic', 'Pizza']",94%,19
996,Royal Nepal,"['Asian', 'Indian']",95%,145
997,XXL Doner Kebab,"['Arabic', 'Pizza']",91%,323
998,Catalunya Pita House,['Arabic'],84%,19
999,Feliz Pollo Last,"['Chicken', 'Kebab']",85%,198
1000,Pizza Gozo,"['Italian', 'Pizza']",90%,141
1001,Dirty Burgers,['Burgers'],92%,90
1002,Infusiónfood,"['Burgers', 'International']",86%,14
1003,Pokes World,['Asian'],96%,83
1004,Arashi,"['Asian', 'International']",98%,164
1005,Rostisseria Marisol,['Chicken'],81%,33
1006,Rico Kebab,['Arabic'],--,10
1007,La Antigua Heladería,"['Ice cream', 'Sweets']",86%,49
1008,Tapa Tapa,['Mediterranean'],95%,31
1009,Chicken Lovers,"['American', 'Chicken']",78%,166
1010,Rey Kebab Pizzería Esplugues,"['Arabic', 'International']",89%,131
1011,Bella Istanbul,['Mediterranean'],83%,11
1012,Gluck Barcelona,"['Burgers', 'Pizza']",98%,61
1013,Ravi Chargha House,"['Indian', 'Pizza']",93%,100
1014,Nomomoto Ramen,['Japanese'],96%,173
1015,Domino's Pizza,['Pizza'],92%,112
1016,I Want Burritos,['Mexican'],77%,10
1017,Tapes Barcelona,['Mediterranean'],78%,10
1018,Super Rico Kebab Pizzeria,['Arabic'],77%,10
1019,Córdoba Restaurante,['Indian'],81%,69
1020,Gusto Económico,['Asian'],80%,34
1021,Cuckoo Pollo Crispy,"['American', 'Chicken']",80%,41
1022,Narciso,"['Italian', 'Sandwich']",95%,20
1023,Kebab De Doner,"['Arabic', 'Pizza']",83%,31
1024,Zakhang Wok & Pad Thai,['Asian'],82%,128
1025,La Vega Grill,"['American', 'Burgers']",93%,23
1026,Istanbul Grill,"['Arabic', 'International']",72%,93
1027,Rey De La India,['Indian'],87%,36
1028,La Clote Burger,['Burgers'],83%,58
1029,Wok Chow Mein,['Asian'],91%,22
1030,Pappa E Burger,['Burgers'],94%,21
1031,Pizza Y Empanadas Foc Blau,"['Latin American', 'Pizza']",97%,145
1032,Hot Pollo,['Chicken'],80%,57
1033,Fattoush,['International'],84%,30
1034,Bar Paradis,['Asian'],76%,141
1035,Los Panas,['Burgers'],99%,39
1036,Pita Inn 2,['Arabic'],93%,12
1037,India & India,['Indian'],76%,21
1038,Pita Inn,"['Arabic', 'International']",88%,110
1039,Oasis Doner Kebab,['Arabic'],90%,154
1040,Pizza Town,['Pizza'],78%,326
1041,Empanadas La Panada,['Latin American'],93%,116
1042,Villa Caprice,"['Mediterranean', 'Pizza']",99%,37
1043,King Catalunya Kebab Pizzería Pollatra,"['Arabic', 'International']",95%,115
1044,Hey Mexico,"['American', 'Mexican']",84%,74
1045,Indian Town,['Indian'],90%,123
1046,Pizzería Carlos,"['Italian', 'Pizza']",94%,256
1047,Tortitas & Cakes,"['Snacks', 'Sweets']",98%,143
1048,Ivaan 9 Tapas & Pizza,"['Mediterranean', 'Pizza']",92%,29
1049,Sabor 5 Doner Kebab y Pizzería,"['Arabic', 'Pizza']",88%,43
1050,Mancora,['International'],88%,29
1051,Wok Palace,['Asian'],70%,38
1052,Happy Rock,"['Burgers', 'Mediterranean']",86%,12
1053,Fresh Food,"['Arabic', 'Pizza']",96%,35
1054,Sushi Munch,"['Asian', 'Japanese']",98%,24
1055,Kebab & Pizza,"['Arabic', 'Pizza']",79%,20
1056,Burritos Chula Vista,"['American', 'Mexican']",89%,28
1057,La Rotisserie Camarasa,['Chicken'],91%,18
1058,Brasería Ibérica Campo de Tiro Montigalà,['Mediterranean'],94%,152
1059,Pizza Vila Italiana,['Pizza'],90%,159
1060,Wino,['Asian'],97%,216
1061,Pizzas 197,"['International', 'Italian']",95%,81
1062,Milano Pizza & Pasta Passeig De Maragall,['Pizza'],87%,61
1063,La Milanesísima,"['American', 'Latin American']",88%,100
1064,The Real Peri Peri Chicken,['Chicken'],89%,184
1065,Pollo House Avinguda De Rio De Janeiro,['Chicken'],86%,65
1066,Hm El Carmel Doner Kebarb Y Pizzería,"['Burgers', 'International']",83%,40
1067,Catalana grill,['Arabic'],85%,41
1068,Gust Doner,"['Indian', 'Pizza']",95%,57
1069,Milanga Burger,"['Burgers', 'Latin American']",90%,87
1070,Pizza Rico,['Pizza'],74%,27
1071,Sabor Latino Yolanda,"['Chicken', 'Mexican']",--,116
1072,Kebab Rico Tío Chema,"['Arabic', 'Pizza']",93%,66
1073,Pizzería Auténtica Italiana,['Pizza'],85%,106
1074,Sushi Solar,"['Japanese', 'Sushi']",93%,62
1075,Bar Restaurante Carlos III,['Asian'],79%,210
1076,MadreLievito Pizzerie,"['Italian', 'Pizza']",87%,65
1077,Ninja Wings,"['American', 'Chicken']",89%,49
1078,Frankyfurt,"['American', 'Burgers']",91%,38
1079,"Carnosos, Tacos y Burritos","['American', 'Mexican']",93%,34
1080,Bar Cafetería Meila,['Sandwich'],79%,20
1081,Momo Avinyó,['Mediterranean'],99%,315
1082,Un Bocado,['Japanese'],95%,28
1083,International Burger,['Burgers'],93%,177
1084,Spartan,['International'],90%,93
1085,Amigo Kebab Pizzería,['Arabic'],89%,45
1086,Rey De Ali Baba Cornella,['Arabic'],82%,38
1087,Istanbul Parrilla,['Arabic'],95%,77
1088,Pizzería Girona Bar Y Kebab,['Arabic'],97%,69
1089,Calzone Pizza,"['International', 'Italian']",--,134
1090,Anormal,"['Latin American', 'Seafood']",84%,25
1091,Gusto Sano,"['Italian', 'Pizza']",97%,308
1092,Daler Doner Kebab,"['Arabic', 'Kebab']",83%,101
1093,FARGA,"['Bakery', 'Sweets']",--,112
1094,Think Healthy,"['Healthy', 'Mediterranean']",90%,35
1095,Kebab Turc,"['Arabic', 'Pizza']",92%,10
1096,Riad Sakura arabe - Halal,"['Arabic', 'Pizza']",93%,25
1097,Duram Y Pizza,"['Arabic', 'International']",82%,54
1098,SB Pizzería Kebab,"['Kebab', 'Pizza']",81%,21
1099,Coco House,"['Breakfast', 'Snacks']",78%,15
1100,La Burger Vegetal,['Burgers'],100%,18
1101,Just Kebab & Drinks Sants,['Mediterranean'],81%,55
1102,Cartagena Doner Kebab,"['International', 'Kebab']",98%,252
1103,El As De Pollos,['Chicken'],87%,26
1104,Juice Dudes,"['Healthy', 'Sandwich']",94%,187
1105,Kebab de Badalona,"['Arabic', 'Pizza']",81%,70
1106,The Real Hot Dog,"['American', 'Burgers']",88%,18
1107,For Sushi Lovers,"['Japanese', 'Sushi']",94%,20
1108,Indian BBQ,['Indian'],88%,53
1109,Bar Restaurante Iberia,['Arabic'],99%,93
1110,Rajah,"['Asian', 'Indian']",86%,17
1111,Mango & Caoba Cocina Vegana,"['Healthy', 'Vegan']",92%,109
1112,Burritomanía,['Mexican'],77%,151
1113,Pak Pita Kebab,"['Arabic', 'Chicken']",96%,147
1114,Fish & Xips - Döner & Kebab Sants,['Arabic'],97%,75
1115,Amigo Doner,['Indian'],--,33
1116,Gate Way Pizzería,['Pizza'],84%,37
1117,Pizzería Roston,"['International', 'Italian']",New,62
1118,Rostisseria Clari,['Mediterranean'],86%,300
1119,Al Noor Doner Kebab Pizzería,"['Arabic', 'International']",77%,42
1120,El Rey Del Wok,['Japanese'],81%,44
1121,La Placeta Del Gust,"['Asian', 'Mediterranean']",98%,99
1122,Braseria La Amistad,['International'],--,20
1123,Creppy,['Pizza'],88%,22
1124,Fast Time Burger Halal,"['Burgers', 'Pizza']",69%,138
1125,Kebab Sant Andreu,"['Arabic', 'Pizza']",--,94
1126,Grandys Empanadas,"['Latin American', 'Pizza']",96%,142
1127,Gallo Macarra,"['Latin American', 'Mediterranean']",94%,269
1128,El Rey del Arroz,['Latin American'],81%,208
1129,Out Fry - Korean Fried Chicken By Taster,"['Asian', 'Chicken']",96%,208
1130,Sushi Passion,"['Asian', 'Sushi']",86%,78
1131,Kebab Bbq,"['Arabic', 'International']",83%,10
1132,"Burrito, Hamburguesa Y Bocatas","['Burgers', 'Snacks']",75%,10
1133,Pizza Maria Claret,"['Arabic', 'Indian']",93%,182
1134,Granja Bar Extremeño,['Mediterranean'],77%,12
1135,Ready Pollo a l´ast,"['Mediterranean', 'Sandwich']",78%,87
1136,La Teke,"['Latin American', 'Venezolana']",85%,34
1137,Juan Doner Kebab,"['Arabic', 'Kebab']",89%,110
1138,Bambú Sushi Bar,"['Asian', 'Japanese']",95%,51
1139,La Granja De Gracia,"['Mediterranean', 'Sandwich']",87%,69
1140,Croq & Roll,['Mediterranean'],90%,22
1141,Munkies Burger,['Burgers'],--,34
1142,Tandoori Estacio,['Indian'],84%,69
1143,Catalunya Pita House Carrer De Les Camèlies,['Arabic'],90%,110
1144,Hotdoks,"['American', 'Burgers']",96%,13
1145,Cangre Smash Burger,['Burgers'],New,243
1146,Estrilla Kebab,"['Arabic', 'Pizza']",--,71
1147,Indian Kitchen,['Indian'],74%,99
1148,Pizza Mamamia,['Pizza'],94%,93
1149,Dos Parceros Medellín Street Food,['Burgers'],92%,18
1150,Tandoori Barcelona,['Indian'],86%,36
1151,El Sabor De Kebab,"['Arabic', 'Pizza']",--,127
1152,El Maracucho Grill House,"['Burgers', 'Grill']",84%,42
1153,La Heladería,['Ice cream'],91%,54
1154,Hamburguesería Calabria,['Burgers'],--,27
1155,AnaLaBrasa By Casa Carmen,['Mediterranean'],70%,13
1156,JUNK,"['American', 'Burgers']",New,49
1157,Roots Vegan Food,"['Healthy', 'Vegan']",87%,97
1158,Vegan Food,"['Healthy', 'Vegan']",--,50
1159,Restaurante Sol Naciente 2,['Burgers'],90%,39
1160,La Garriga,"['Gourmet', 'Sandwich']",91%,51
1161,Mix Fast Food,"['Burgers', 'Pizza']",87%,70
1162,Espak2 Mecdonner,['Arabic'],78%,156
1163,Born Canelón,['Mediterranean'],87%,77
1164,Bar Salvadoreño 503,['Mediterranean'],95%,84
1165,Rajashtan,['Arabic'],79%,14
1166,Frankfurt Y Bocatas,['Sandwich'],70%,11
1167,Best Hamburgueseria & Pizzeria,"['American', 'Burgers']",89%,107
1168,Pizza Torre,['Pizza'],84%,22
1169,Pizzeria Da Nanni,['Pizza'],91%,58
1170,Ariba Doner Kebab&Restaurant,"['Indian', 'International']",82%,43
1171,Palace Pizza,"['American', 'Pizza']",88%,62
1172,Heladería París,['American'],88%,33
1173,Central Placeres Argentinos,"['Latin American', 'Pizza']",88%,21
1174,Al Rahmat Restaurant,"['Arabic', 'Indian']",60%,17
1175,Pollo Fresco,['Pizza'],--,83
1176,King Doner Kebab Restaurant,"['Arabic', 'Pizza']",84%,170
1177,Roost Chicken,['Chicken'],84%,63
1178,Istanbul Kebap,['Mediterranean'],88%,33
1179,Classic Indian,['Indian'],81%,11
1180,Pizza Home,['Pizza'],73%,35
1181,Hi Cream,"['Breakfast', 'Ice cream']",99%,49
1182,Pasa Palo Express,"['Latin American', 'Venezolana']",85%,10
1183,Joni Pizzería,['Pizza'],--,70
1184,Pollos Royal,['Chicken'],83%,12
1185,Usmania Restaurante,['Indian'],--,74
1186,Cantina Machito,['Mexican'],92%,171
1187,Bar Restaurant 606,['Japanese'],95%,14
1188,Apni Haveli,['Indian'],New,118
1189,Pita House Progreso,['Pizza'],--,23
1190,Rostisseria Maribel,['Chicken'],90%,23
1191,Ramen Kumamon,['Japanese'],94%,157
1192,Durum De Kebab,['Arabic'],80%,25
1193,Green Room,['Burgers'],98%,49
1194,Let's Walk For The Wok,['Asian'],90%,93
1195,Yoshikawa,"['Asian', 'Japanese']",90%,56
