,Name,Cuisine Style,Rating Glovo,Number of Reviews
1369,I Love Pizza & Pasta,"['Italian', 'Pizza']",75%,10
1370,Ben & Jerry's y Magnum,['Ice cream'],--,158
1371,Pita House Kebab Pizzería,"['Arabic', 'Italian']",93%,18
1372,The Real Lobster Bun,"['American', 'Burgers']",--,10
1373,Pak Restaurant Cuina India y Cuina turca y  Pizzeria,['Arabic'],45%,10
1374,Jungle Burger,['Burgers'],--,11
1375,Hanaki,['Japanese'],--,10
1376,Made In Turco,"['Mediterranean', 'Pizza']",70%,21
1377,XXL Duram House,"['Arabic', 'Chicken']",New,58
1378,SP Doner Kebab Pizzería,"['Arabic', 'International']",--,19
1379,Chakrumi,['Latin American'],--,39
1380,Menjar Turc Kebab,"['Arabic', 'Burgers']",76%,10
1381,El Teu Kebak,"['Arabic', 'International']",--,16
1382,Pizzería Catalunya,"['Chicken', 'Pizza']",--,13
1383,Italiano Pizza,['Pizza'],--,58
1384,Best Pizza Shop,['International'],--,10
1385,Bella Pizza,"['Italian', 'Mediterranean']",New,19
1386,Turkis Kebab,"['Arabic', 'Burgers']",88%,49
1387,Lunch Juicy Restaurant,"['International', 'Pizza']",--,10
1388,Antojos,['Sweets'],93%,27
1389,Pizzeríakebabfactory 2,"['American', 'Burgers']",67%,74
1390,Argentina Dreams,['Latin American'],76%,28
1391,Prezzemolo,['Pizza'],96%,12
1392,Pizzaland,['Pizza'],85%,16
1393,Aziz Doner Kebab Pizzería,['Pizza'],76%,14
1394,Galicia Calidade O´Bouzos,['Mediterranean'],76%,10
1395,Gurmet Besos,['Asian'],56%,10
1396,Frankfurt Donee,"['Arabic', 'Pizza']",--,25
1397,Turk Pizza,['Pizza'],--,20
1398,Don Totti's,['Chicken'],100%,24
1399,Milanesa Veggy,['American'],74%,107
1400,Rock Star Sushi,"['Asian', 'Japanese']",97%,40
1401,Colmena,"['Burgers', 'Mediterranean']",82%,10
1402,Indian Continental,['International'],--,123
1403,Classic Sushi,['Japanese'],41%,35
1404,Burger Café,"['Burgers', 'Mediterranean']",--,67
1405,Boxes & Gelatos by Sweet Teo,"['Breakfast', 'Churros']",90%,125
1406,Sher -E- Punjab,['Indian'],--,11
1407,D'eli,"['Breakfast', 'Italian']",--,10
1408,American Experience,"['Burgers', 'Pizza']",--,24
1409,El Sazon De Isabel La Farga,['Mediterranean'],91%,34
1410,Pita House 2,['Pizza'],92%,10
1411,Monster Cookies,['Sweets'],81%,23
1412,Pizzeria Bar Basilico,['Pizza'],--,56
